call_id,paper_id,condition,repeat,model,temperature,top_p,min_p,input_sha256,status,latency_seconds,timestamp,raw_response_path
EP-34,Furutachi2024,Condition C (Masked),1,gemma-4-31b-it,0.35,0.9,0.1,06e4583ebfae74170fcc1d9119e2f4a2558c09fe141c5da32bd5a95f7904d8eb,COMPLETED_SUCCESS,328.97,2026-08-24T18:18:37.808256+00:00,content/raw_responses/evidence_prior_202608/EP-34.json
EP-35,Furutachi2024,Condition C (Masked),2,gemma-4-31b-it,0.35,0.9,0.1,06e4583ebfae74170fcc1d9119e2f4a2558c09fe141c5da32bd5a95f7904d8eb,COMPLETED_SUCCESS,101.04,2026-08-24T18:24:06.782435+00:00,content/raw_responses/evidence_prior_202608/EP-35.json
EP-36,Furutachi2024,Condition C (Masked),3,gemma-4-31b-it,0.35,0.9,0.1,06e4583ebfae74170fcc1d9119e2f4a2558c09fe141c5da32bd5a95f7904d8eb,COMPLETED_SUCCESS,102.88,2026-08-24T18:25:47.828032+00:00,content/raw_responses/evidence_prior_202608/EP-36.json
EP-37,Chao2018,Condition A (Full),1,gemma-4-31b-it,0.35,0.9,0.1,6784a9a646fc81d437c21938a819e96280abbcfcd73e5b1fdec7b793f3035eac,COMPLETED_SUCCESS,287.4,2026-08-24T18:27:30.715129+00:00,content/raw_responses/evidence_prior_202608/EP-37.json
EP-38,Chao2018,Condition A (Full),2,gemma-4-31b-it,0.35,0.9,0.1,6784a9a646fc81d437c21938a819e96280abbcfcd73e5b1fdec7b793f3035eac,COMPLETED_SUCCESS,97.01,2026-08-24T18:32:18.130063+00:00,content/raw_responses/evidence_prior_202608/EP-38.json
EP-39,Chao2018,Condition A (Full),3,gemma-4-31b-it,0.35,0.9,0.1,6784a9a646fc81d437c21938a819e96280abbcfcd73e5b1fdec7b793f3035eac,COMPLETED_SUCCESS,97.64,2026-08-24T18:33:55.154586+00:00,content/raw_responses/evidence_prior_202608/EP-39.json
EP-40,Chao2018,Condition B (Abstract),1,gemma-4-31b-it,0.35,0.9,0.1,070c7457a5c45bbe9b49140951461930bd19c89699c0beaab6ea17cfb4f519b9,COMPLETED_SUCCESS,84.16,2026-08-24T18:35:32.804255+00:00,content/raw_responses/evidence_prior_202608/EP-40.json
EP-41,Chao2018,Condition B (Abstract),2,gemma-4-31b-it,0.35,0.9,0.1,070c7457a5c45bbe9b49140951461930bd19c89699c0beaab6ea17cfb4f519b9,COMPLETED_SUCCESS,81.44,2026-08-24T18:36:56.969713+00:00,content/raw_responses/evidence_prior_202608/EP-41.json
EP-42,Chao2018,Condition B (Abstract),3,gemma-4-31b-it,0.35,0.9,0.1,070c7457a5c45bbe9b49140951461930bd19c89699c0beaab6ea17cfb4f519b9,COMPLETED_SUCCESS,81.37,2026-08-24T18:38:18.421751+00:00,content/raw_responses/evidence_prior_202608/EP-42.json
EP-43,Chao2018,Condition C (Masked),1,gemma-4-31b-it,0.35,0.9,0.1,ac20514b8b7c514589c3eb910ca031260860faeb92dde4dc139de5fa1c774eea,COMPLETED_SUCCESS,289.11,2026-08-24T18:39:39.804796+00:00,content/raw_responses/evidence_prior_202608/EP-43.json
